YESIL_ALAN_TURU,ILCE,MAHALLE,ADRES,PARK_ADI,YESIL_ALAN_MIKTARI,KONDISYON_TAKIMI,OYUN_GRUBU,latitude,longitude
Park,Karabağlar,YURTOĞLU,3946 SOKAK,Yurtoğlu Mahallesi Parkı,50609,1.0,1.0,38.3604132681894,27.097021419724946
Park,Balçova,BAHÇELERARASI,MİTHATPAŞA CADDESİ,Akın Akın Parkı,6069,,1.0,40.99675437825484,28.827791315820182
Park,Balçova,İNCİRALTI,MİTHATPAŞA CADDESİ,Balçova Cumhuriyet Parkı,9500,1.0,1.0,40.99675437825484,28.827791315820182
Park,Balçova,KORUTÜRK,SAKARYA CADDESİ,Balçova Sakarya Parkı,25000,,1.0,41.050204570663425,28.862188454186008
Park,Balçova,EĞİTİM,MİTHATPAŞA CADDESİ ( BALÇOVA VİYADÜĞÜ ALTI ),İkiztepeler Parkı,4745,,1.0,,
Park,Balçova,ÇETİN EMEÇ,OLİMPİYAT EVLERİ,Olimpiyat Evleri,12000,1.0,1.0,,
Park,Buca,ATATÜRK,202/5 SOKAK,Buca Atatürk Mahallesi 202/5 Sok. Parkı,864,1.0,1.0,38.37412024737149,27.189138583020863
Park,Buca,ÇAMLIKULE,220/27 SOKAK,Aşık Mahsuni Şerif Parkı (Çamlıkule Mh),1845,,1.0,38.371954690580935,27.172079802241228
Park,Buca,BUCA KOOP,1401 SOKAK,Aykent Parkı (1401 Sokak),3146,1.0,1.0,41.09549454702639,28.89398851171465
Park,Buca,YAYLACIK,1025 SOKAK,Bahçekapı Parkı,20283,1.0,1.0,41.047428659399614,28.873106117165207
Park,Buca,İNKILAP,133 SOKAK,Beyazıt Aykut Parkı,2083,,,41.11586059611295,28.996432348832933
Park,Buca,ATATÜRK,63/3 SOKAK,Buca 63/3 Sokak Parkı,331,,,,
Park,Buca,MUSTAFA KEMAL,686/27 SOKAK,Buca 686/27 Sokak Parkı  (Mustafa Kemal Mah.),911,1.0,1.0,,
Park,Buca,ADATEPE,2/1 SOKAK,Buca Adatepe 2/1 Sokak Parkı,990,1.0,1.0,,
Park,Buca,ÇAMLIPINAR,254 SOKAK,Buca Çamlıpınar Mahallesi  (254 Sokak Parkı),537,1.0,1.0,,
Park,Buca,BUCA KOOP,1409 SOKAK,Buca Koop Parkı,6415,1.0,1.0,,
Park,Buca,BUCA KOOP,242/34 SOKAK,Buca Koop Parkı-1,2242,,1.0,,
Park,Buca,BUCA KOOP,1409 SOKAK,Buca Koop Parkı-2,3514,1.0,1.0,,
Park,Buca,KURUÇEŞME,1133 SOKAK,Buca Kuruçeşme Parkı-1,1529,,1.0,,
Park,Buca,KURUÇEŞME,205/8 SOKAK,Buca Kuruçeşme Parkı-2,7000,,1.0,,
Park,Buca,YEŞİLBAĞLAR,637/16,Buca Yeşilbağlar Parkı  (637/16 Sk Parkı),1132,,1.0,,
Park,Buca,ÇAMLIKULE,220/60 SOKAK,Eski Çamlıkule Parkı  (220/60 Sk),1363,,1.0,,
Park,Buca,ÇAMLIKULE,242/28 SOKAK,Yeni Çamlıkule Parkı  (242/28 Sk),3160,,1.0,,
Park,Buca,FIRAT,286 SOKAK,Fırat Mahallesi Parkı (Eski),1144,1.0,1.0,,
Park,Buca,FIRAT,288/5 SOKAK,Fırat Mahallesi Parkı  (Yeni) 288/5 Sk,1550,,1.0,,
Park,Buca,GÖKSU,679/29 SOKAK,Göksu Mh. Parkı  (679/29 Sk.),1540,1.0,1.0,,
Park,Buca,HÜRRİYET,MEHMET AKİF CADDESİ,Kemal Sunal Parkı,1332,1.0,1.0,,
Park,Buca,MUSTAFA KEMAL,694/47 SOKAK,Mustafa Kemal  Mah Parkı  (694/47 sk),1323,1.0,1.0,,
Park,Buca,MUSTAFA KEMAL,686/38 SOKAK,Mustafa Kemal  Mah Parkı 2  (686/38 sk),960,1.0,1.0,,
Park,Buca,ADATEPE,2/17 SOKAK,Neşet Ertaş Parkı,18250,1.0,2.0,,
Park,Buca,EFELER,303/1 SOKAK,Ötüken Parkı,20094,1.0,1.0,,
Park,Buca,ŞİRİNKAPI,1060 SOKAK,Şirinkapı Parkı,7990,1.0,1.0,,
Park,Buca,YILDIZ,242/25 SOKAK,Yıldız Parkı (Eski),1841,,1.0,,
Park,Buca,YILDIZ,206/43 SOKAK,Yıldız Parkı (Yeni),4579,1.0,1.0,,
Park,Buca,İNKILAP,133 SOKAK,Şirinyer Metro İstasyonu,1900,1.0,1.0,,
Park,Buca,ÇAĞDAŞ,DEDE KORKUT CADDESİ,Buca Yedigöller,90000,,,,
Park,Buca,YILDIZ,206/40 SOKAK,Yıldız Mh.206/40 Sk Parkı,280,,,,
Park,Buca,ÇAMLIKULE,200/17 SOKAK,Mehmet Erenler Parkı,900,,1.0,,
Park,Gaziemir,BİNBAŞI REŞAT BEY,397/3 SOKAK NO:97,Binbaşı Reşatbey Parkı  (397/3 Sk.No: 97),2208,1.0,1.0,,
Park,Gaziemir,ATIFBEY,56 SOKAK NO:70,Esra Parkı  (Gaziemir Atıfbey Mh).,12990,1.0,1.0,,
Park,Gaziemir,ZAFER,812 SOKAK,Evka -7 Zafer Mh. Parkı,2200,,1.0,,
Park,Gaziemir,BEYAZEVLER,541 SOKAK,Gaziemir Beyazevler Parkı,20157,1.0,1.0,,
Park,Gaziemir,BEYAZEVLER,544 SOKAK,Gaziemir Beyazevler Parkı  (544 Sk),2640,,,,
Park,Gaziemir,IRMAK,703 SOKAK,Gezi Parkı (Irmak Mh. 703 Sk).,4500,,1.0,,
Park,Gaziemir,ZAFER,800 SOKAK,Gaziemir Zeytin Yaşam Korusu  (Evka  7 ),40000,,,,
